UID,edad,sexo,neducativo,salario,sector
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655984-1-1,5.0,1.0,3.0,1160000.0,12.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
7655986-1-2,1.0,0.0,3.0,1160000.0,14.0
